Company,Symbol,Weight
Ecolab Inc,ECL,0.121371
Fortinet Inc,FTNT,0.12131
American Electric Power,AEP,0.121258
Capital One Financial Corp,COF,0.121172
Arthur J Gallagher & Co,AJG,0.12099
Monster Beverage Corp,MNST,0.120923
Autozone Inc,AZO,0.120874
American International Group,AIG,0.117611
Estee Lauder Companies Cl A,EL,0.117353
Transdigm Group Inc,TDG,0.116802
Corteva Inc,CTVA,0.11595
Moderna Inc,MRNA,0.11578
Cintas Corp,CTAS,0.115115
Te Connectivity Ltd,TEL,0.11425
Trane Technologies Plc,TT,0.113149
Travelers Cos Inc,TRV,0.11289
Archer Daniels Midland Co,ADM,0.112427
Exelon Corp,EXC,0.112027
Paccar Inc,PCAR,0.110904
Constellation Brands Inc A,STZ,0.110181
Iqvia Holdings Inc,IQV,0.10812
Arista Networks Inc,ANET,0.107597
On Semiconductor,ON,0.10748
Aflac Inc,AFL,0.107001
Realty Income Corp,O,0.106753
Carrier Global Corp,CARR,0.106702
Williams Cos Inc,WMB,0.10639
Hess Corp,HES,0.106288
Hilton Worldwide Holdings In,HLT,0.106213
Welltower Inc,WELL,0.106025
Dow Inc,DOW,0.105777
Msci Inc,MSCI,0.105463
Nucor Corp,NUE,0.1046
Idexx Laboratories Inc,IDXX,0.104333
Centene Corp,CNC,0.104181
Yum  Brands Inc,YUM,0.104058
Hershey Co,HSY,0.104014
Copart Inc,CPRT,0.103089
Sysco Corp,SYY,0.102966
Otis Worldwide Corp,OTIS,0.101731
Simon Property Group Inc,SPG,0.101286
Metlife Inc,MET,0.100864
Paychex Inc,PAYX,0.100155
Dr Horton Inc,DHI,0.099496
L3harris Technologies Inc,LHX,0.09947
Charter Communications Inc A,CHTR,0.099128
Xcel Energy Inc,XEL,0.098188
Ross Stores Inc,ROST,0.09813
Dollar General Corp,DG,0.097174
Ametek Inc,AME,0.096999
Agilent Technologies Inc,A,0.096289
Rockwell Automation Inc,ROK,0.095548
Verisk Analytics Inc,VRSK,0.095357
Kinder Morgan Inc,KMI,0.094983
Ameriprise Financial Inc,AMP,0.093291
Newmont Corp,NEM,0.092942
Ppg Industries Inc,PPG,0.092709
Consolidated Edison Inc,ED,0.092615
Electronic Arts Inc,EA,0.091885
Vici Properties Inc,VICI,0.091159
